# --- TEST_START: 1746910736 ---
backend-a-1,12.91%,266.3MiB / 30.25GiB,1.85kB / 713B
backend-b-1,2.93%,253.8MiB / 30.25GiB,1.86kB / 370B
prometheus,0.08%,56.85MiB / 30.25GiB,183kB / 2.93MB
myservice,0.10%,553.9MiB / 30.25GiB,5.17kB / 84.7kB
grafana,0.94%,66.72MiB / 30.25GiB,40.5kB / 85.3kB
node-exporter,0.00%,12.02MiB / 30.25GiB,5.86kB / 87.3kB
kind_gates,289.20%,708.5MiB / 30.25GiB,2kB / 1.01kB
kind_gates,50.25%,727.9MiB / 30.25GiB,238kB / 244kB
backend-a-1,37.19%,270.1MiB / 30.25GiB,160kB / 163kB
backend-b-1,34.63%,258.6MiB / 30.25GiB,158kB / 170kB
prometheus,0.00%,56.86MiB / 30.25GiB,215kB / 2.93MB
myservice,0.10%,554MiB / 30.25GiB,5.92kB / 102kB
grafana,0.91%,66.72MiB / 30.25GiB,40.7kB / 85.6kB
node-exporter,0.00%,12.04MiB / 30.25GiB,6.6kB / 102kB
kind_gates,13.11%,712.4MiB / 30.25GiB,644kB / 657kB
backend-a-1,25.63%,275.6MiB / 30.25GiB,308kB / 314kB
backend-b-1,23.70%,262.1MiB / 30.25GiB,305kB / 329kB
prometheus,0.03%,56.87MiB / 30.25GiB,215kB / 2.93MB
myservice,0.08%,554MiB / 30.25GiB,5.92kB / 102kB
grafana,1.01%,66.75MiB / 30.25GiB,40.9kB / 85.7kB
node-exporter,0.00%,12.04MiB / 30.25GiB,6.6kB / 102kB
kind_gates,16.77%,715.5MiB / 30.25GiB,949kB / 965kB
backend-a-1,19.83%,279.3MiB / 30.25GiB,454kB / 464kB
backend-b-1,23.82%,265.8MiB / 30.25GiB,401kB / 434kB
prometheus,0.00%,56.87MiB / 30.25GiB,246kB / 2.93MB
myservice,0.13%,554.1MiB / 30.25GiB,6.66kB / 119kB
grafana,1.05%,66.75MiB / 30.25GiB,40.9kB / 85.7kB
node-exporter,0.00%,12.05MiB / 30.25GiB,7.33kB / 116kB
# --- TEST_END: 1746910750 ---
backend-a-1,0.11%,279.2MiB / 30.25GiB,473kB / 483kB
backend-b-1,0.12%,266MiB / 30.25GiB,469kB / 506kB
prometheus,0.00%,56.88MiB / 30.25GiB,278kB / 2.93MB
myservice,0.62%,554.2MiB / 30.25GiB,7.41kB / 136kB
grafana,1.00%,66.77MiB / 30.25GiB,40.9kB / 85.7kB
node-exporter,1.48%,12.07MiB / 30.25GiB,8.07kB / 131kB
