# --- TEST_START: 1746911089 ---
backend-a-1,0.10%,330.8MiB / 30.25GiB,945kB / 968kB
backend-b-1,0.10%,314.2MiB / 30.25GiB,937kB / 1.01MB
prometheus,0.26%,73.46MiB / 30.25GiB,2.43MB / 3.04MB
myservice,1.10%,557.8MiB / 30.25GiB,58.1kB / 1.29MB
grafana,0.95%,75.92MiB / 30.25GiB,50.9kB / 95.9kB
node-exporter,1.63%,14.7MiB / 30.25GiB,58.2kB / 1.12MB
pensive_khayyam,279.62%,644.2MiB / 30.25GiB,826B / 0B
pensive_khayyam,35.42%,723.2MiB / 30.25GiB,311kB / 297kB
backend-a-1,11.37%,334.8MiB / 30.25GiB,1.09MB / 1.12MB
backend-b-1,13.02%,314.2MiB / 30.25GiB,1.08MB / 1.17MB
prometheus,0.00%,73.46MiB / 30.25GiB,2.43MB / 3.04MB
myservice,0.08%,557.8MiB / 30.25GiB,58.1kB / 1.29MB
grafana,1.08%,75.92MiB / 30.25GiB,51.3kB / 96.1kB
node-exporter,0.00%,14.53MiB / 30.25GiB,58.2kB / 1.12MB
pensive_khayyam,13.86%,708.9MiB / 30.25GiB,618kB / 598kB
backend-a-1,19.64%,341.1MiB / 30.25GiB,1.24MB / 1.27MB
backend-b-1,15.20%,314.3MiB / 30.25GiB,1.23MB / 1.33MB
prometheus,0.00%,73.46MiB / 30.25GiB,2.46MB / 3.04MB
myservice,0.09%,557.8MiB / 30.25GiB,58.8kB / 1.31MB
grafana,1.05%,75.91MiB / 30.25GiB,51.3kB / 96.1kB
node-exporter,0.00%,14.79MiB / 30.25GiB,58.9kB / 1.14MB
pensive_khayyam,27.34%,708.1MiB / 30.25GiB,932kB / 902kB
backend-a-1,19.20%,343.2MiB / 30.25GiB,1.39MB / 1.42MB
backend-b-1,22.97%,315.6MiB / 30.25GiB,1.38MB / 1.49MB
prometheus,0.48%,73.47MiB / 30.25GiB,2.49MB / 3.04MB
myservice,13.70%,557.9MiB / 30.25GiB,59.6kB / 1.33MB
grafana,1.03%,75.91MiB / 30.25GiB,51.3kB / 96.1kB
node-exporter,0.00%,14.79MiB / 30.25GiB,58.9kB / 1.14MB
# --- TEST_END: 1746911102 ---
backend-a-1,0.09%,345.2MiB / 30.25GiB,1.42MB / 1.45MB
backend-b-1,0.10%,315.6MiB / 30.25GiB,1.4MB / 1.52MB
prometheus,0.08%,73.47MiB / 30.25GiB,2.49MB / 3.04MB
myservice,0.09%,557.9MiB / 30.25GiB,59.6kB / 1.33MB
grafana,0.97%,75.91MiB / 30.25GiB,51.3kB / 96.1kB
node-exporter,0.00%,13.94MiB / 30.25GiB,59.7kB / 1.15MB
