backend-a-1,0.11%,351.1MiB / 30.25GiB,628kB / 647kB
node-exporter,1.66%,13.12MiB / 30.25GiB,41.3kB / 791kB
nifty_kare,0.40%,729MiB / 30.25GiB,326kB / 328kB
prometheus,0.09%,65.8MiB / 30.25GiB,1.76MB / 3MB
grafana,1.34%,79.02MiB / 30.25GiB,54.1kB / 99.1kB
myservice,3.81%,630.3MiB / 30.25GiB,1.95MB / 2.87MB
backend-b-1,8.27%,282.4MiB / 30.25GiB,3.2kB / 1.82kB
backend-a-1,0.28%,351.1MiB / 30.25GiB,629kB / 649kB
node-exporter,0.00%,13.02MiB / 30.25GiB,41.3kB / 791kB
nifty_kare,0.11%,729MiB / 30.25GiB,333kB / 335kB
prometheus,0.00%,65.8MiB / 30.25GiB,1.77MB / 3.01MB
grafana,1.32%,79.02MiB / 30.25GiB,54.3kB / 99.3kB
myservice,0.12%,630.4MiB / 30.25GiB,1.96MB / 2.88MB
backend-b-1,0.63%,282.4MiB / 30.25GiB,3.35kB / 1.82kB
backend-a-1,0.11%,351.1MiB / 30.25GiB,633kB / 652kB
node-exporter,1.89%,12.92MiB / 30.25GiB,42.1kB / 806kB
nifty_kare,0.12%,728.6MiB / 30.25GiB,333kB / 336kB
prometheus,0.00%,65.8MiB / 30.25GiB,1.79MB / 3.01MB
grafana,1.16%,79.02MiB / 30.25GiB,54.3kB / 99.3kB
myservice,0.13%,630.8MiB / 30.25GiB,1.96MB / 2.89MB
backend-b-1,0.15%,282.4MiB / 30.25GiB,3.39kB / 1.86kB
backend-a-1,0.11%,353.4MiB / 30.25GiB,633kB / 652kB
node-exporter,0.00%,12.87MiB / 30.25GiB,42.1kB / 806kB
nifty_kare,0.12%,728.6MiB / 30.25GiB,333kB / 336kB
prometheus,1.05%,65.82MiB / 30.25GiB,1.82MB / 3.01MB
grafana,1.31%,79.02MiB / 30.25GiB,54.4kB / 99.5kB
myservice,1.20%,630.7MiB / 30.25GiB,1.96MB / 2.91MB
backend-b-1,0.15%,282.3MiB / 30.25GiB,3.43kB / 1.9kB
backend-a-1,0.93%,355.9MiB / 30.25GiB,633kB / 652kB
node-exporter,0.00%,14MiB / 30.25GiB,42.8kB / 820kB
nifty_kare,0.12%,728.6MiB / 30.25GiB,333kB / 336kB
prometheus,0.38%,65.82MiB / 30.25GiB,1.84MB / 3.01MB
grafana,1.24%,79.02MiB / 30.25GiB,54.7kB / 99.7kB
myservice,0.19%,630.7MiB / 30.25GiB,1.96MB / 2.91MB
backend-b-1,0.14%,282.3MiB / 30.25GiB,3.43kB / 1.9kB
backend-a-1,0.17%,355.4MiB / 30.25GiB,633kB / 653kB
node-exporter,0.00%,14MiB / 30.25GiB,42.8kB / 820kB
nifty_kare,0.16%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.00%,65.95MiB / 30.25GiB,1.85MB / 3.01MB
grafana,1.29%,79.02MiB / 30.25GiB,54.7kB / 99.7kB
myservice,0.30%,630.7MiB / 30.25GiB,1.96MB / 2.93MB
backend-b-1,0.14%,282.3MiB / 30.25GiB,3.43kB / 1.9kB
backend-a-1,0.16%,355.4MiB / 30.25GiB,633kB / 653kB
node-exporter,0.00%,13.4MiB / 30.25GiB,43.6kB / 835kB
nifty_kare,0.11%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.89%,65.83MiB / 30.25GiB,1.87MB / 3.01MB
grafana,1.41%,79.02MiB / 30.25GiB,54.9kB / 100kB
myservice,0.15%,630.7MiB / 30.25GiB,1.96MB / 2.93MB
backend-b-1,0.24%,282.3MiB / 30.25GiB,3.43kB / 1.9kB
backend-a-1,0.37%,355.4MiB / 30.25GiB,633kB / 653kB
node-exporter,0.00%,13.41MiB / 30.25GiB,44.3kB / 850kB
nifty_kare,0.11%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.31%,65.82MiB / 30.25GiB,1.9MB / 3.01MB
grafana,1.18%,79.02MiB / 30.25GiB,55.1kB / 100kB
myservice,0.14%,630.7MiB / 30.25GiB,1.96MB / 2.95MB
backend-b-1,0.12%,282.3MiB / 30.25GiB,3.43kB / 1.9kB
backend-a-1,0.11%,355.4MiB / 30.25GiB,633kB / 653kB
node-exporter,0.00%,13.41MiB / 30.25GiB,44.3kB / 850kB
nifty_kare,0.13%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.10%,65.84MiB / 30.25GiB,1.92MB / 3.01MB
grafana,1.27%,79.04MiB / 30.25GiB,55.2kB / 100kB
myservice,0.46%,630.7MiB / 30.25GiB,1.96MB / 2.97MB
backend-b-1,0.11%,282.3MiB / 30.25GiB,3.43kB / 1.9kB
backend-a-1,0.13%,355.4MiB / 30.25GiB,633kB / 653kB
node-exporter,0.00%,12.95MiB / 30.25GiB,45kB / 864kB
nifty_kare,0.11%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.00%,65.83MiB / 30.25GiB,1.93MB / 3.01MB
grafana,1.33%,79.04MiB / 30.25GiB,55.3kB / 101kB
myservice,0.12%,630.7MiB / 30.25GiB,1.96MB / 2.97MB
backend-b-1,0.20%,282.4MiB / 30.25GiB,3.43kB / 1.9kB
backend-a-1,0.20%,355.4MiB / 30.25GiB,633kB / 653kB
node-exporter,1.68%,13.99MiB / 30.25GiB,45.8kB / 879kB
nifty_kare,0.15%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.00%,65.83MiB / 30.25GiB,1.95MB / 3.01MB
grafana,1.13%,79.04MiB / 30.25GiB,55.3kB / 101kB
myservice,0.20%,630.7MiB / 30.25GiB,1.96MB / 2.98MB
backend-b-1,0.12%,282.5MiB / 30.25GiB,3.43kB / 1.9kB
backend-a-1,0.13%,355.5MiB / 30.25GiB,633kB / 653kB
node-exporter,0.00%,13.99MiB / 30.25GiB,45.8kB / 879kB
nifty_kare,0.10%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.97%,65.85MiB / 30.25GiB,1.98MB / 3.02MB
grafana,1.41%,79.04MiB / 30.25GiB,55.4kB / 101kB
myservice,5.38%,631.3MiB / 30.25GiB,1.96MB / 3MB
backend-b-1,0.13%,282.7MiB / 30.25GiB,3.43kB / 2.05kB
backend-a-1,0.13%,355.5MiB / 30.25GiB,633kB / 653kB
node-exporter,0.00%,14.56MiB / 30.25GiB,46.5kB / 894kB
nifty_kare,0.11%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.39%,65.84MiB / 30.25GiB,2MB / 3.02MB
grafana,1.15%,79.04MiB / 30.25GiB,55.7kB / 101kB
myservice,0.12%,631MiB / 30.25GiB,1.96MB / 3MB
backend-b-1,1.33%,283MiB / 30.25GiB,3.58kB / 2.05kB
backend-a-1,0.11%,355.5MiB / 30.25GiB,633kB / 653kB
node-exporter,0.00%,14.56MiB / 30.25GiB,46.5kB / 894kB
nifty_kare,0.17%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.00%,65.85MiB / 30.25GiB,2.02MB / 3.02MB
grafana,1.11%,79.04MiB / 30.25GiB,55.8kB / 101kB
myservice,0.15%,631.1MiB / 30.25GiB,1.96MB / 3.02MB
backend-b-1,0.13%,282.7MiB / 30.25GiB,3.58kB / 2.05kB
backend-a-1,0.12%,360.5MiB / 30.25GiB,633kB / 653kB
node-exporter,0.00%,14.4MiB / 30.25GiB,47.2kB / 908kB
nifty_kare,0.10%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.75%,66.09MiB / 30.25GiB,2.03MB / 3.02MB
grafana,1.56%,79.05MiB / 30.25GiB,55.9kB / 101kB
myservice,0.10%,631.1MiB / 30.25GiB,1.96MB / 3.02MB
backend-b-1,0.12%,282.7MiB / 30.25GiB,3.62kB / 2.09kB
backend-a-1,0.11%,360.4MiB / 30.25GiB,633kB / 653kB
node-exporter,1.42%,13.61MiB / 30.25GiB,48kB / 923kB
nifty_kare,0.12%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.04%,65.84MiB / 30.25GiB,2.05MB / 3.02MB
grafana,1.08%,79.05MiB / 30.25GiB,56.1kB / 101kB
myservice,0.12%,631.1MiB / 30.25GiB,1.96MB / 3.04MB
backend-b-1,0.12%,282.7MiB / 30.25GiB,3.62kB / 2.09kB
backend-a-1,0.17%,360.4MiB / 30.25GiB,633kB / 653kB
node-exporter,0.89%,14.11MiB / 30.25GiB,48.5kB / 923kB
nifty_kare,0.09%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.10%,65.84MiB / 30.25GiB,2.08MB / 3.02MB
grafana,1.06%,79.05MiB / 30.25GiB,56.2kB / 102kB
myservice,0.69%,631.3MiB / 30.25GiB,1.96MB / 3.06MB
backend-b-1,0.10%,282.7MiB / 30.25GiB,3.62kB / 2.09kB
backend-a-1,0.11%,360.4MiB / 30.25GiB,633kB / 653kB
node-exporter,0.00%,13.09MiB / 30.25GiB,48.7kB / 938kB
nifty_kare,0.10%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.00%,65.84MiB / 30.25GiB,2.1MB / 3.02MB
grafana,1.43%,79.05MiB / 30.25GiB,56.3kB / 102kB
myservice,0.11%,631.1MiB / 30.25GiB,1.96MB / 3.06MB
backend-b-1,0.13%,282.7MiB / 30.25GiB,3.62kB / 2.09kB
backend-a-1,0.11%,360.4MiB / 30.25GiB,633kB / 653kB
node-exporter,1.79%,13.84MiB / 30.25GiB,49.5kB / 952kB
nifty_kare,0.18%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.00%,65.84MiB / 30.25GiB,2.11MB / 3.02MB
grafana,1.23%,79.05MiB / 30.25GiB,56.4kB / 102kB
myservice,0.14%,631.1MiB / 30.25GiB,1.96MB / 3.07MB
backend-b-1,0.10%,282.7MiB / 30.25GiB,3.62kB / 2.09kB
backend-a-1,0.11%,360.4MiB / 30.25GiB,633kB / 653kB
node-exporter,0.00%,13.84MiB / 30.25GiB,49.5kB / 952kB
nifty_kare,0.13%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.67%,65.99MiB / 30.25GiB,2.13MB / 3.02MB
grafana,1.30%,79.05MiB / 30.25GiB,56.7kB / 102kB
myservice,0.14%,631.1MiB / 30.25GiB,1.96MB / 3.07MB
backend-b-1,0.13%,282.7MiB / 30.25GiB,3.62kB / 2.09kB
backend-a-1,0.13%,360.4MiB / 30.25GiB,633kB / 653kB
node-exporter,0.00%,12.96MiB / 30.25GiB,50.2kB / 967kB
nifty_kare,0.12%,728.6MiB / 30.25GiB,333kB / 337kB
prometheus,0.22%,65.86MiB / 30.25GiB,2.16MB / 3.02MB
grafana,1.19%,79.05MiB / 30.25GiB,57kB / 102kB
myservice,0.12%,631.1MiB / 30.25GiB,1.97MB / 3.09MB
backend-b-1,0.13%,282.7MiB / 30.25GiB,3.62kB / 2.09kB
backend-a-1,0.25%,360.4MiB / 30.25GiB,634kB / 653kB
node-exporter,0.00%,12.96MiB / 30.25GiB,50.2kB / 967kB
nifty_kare,9.35%,727.5MiB / 30.25GiB,421kB / 424kB
prometheus,0.00%,65.87MiB / 30.25GiB,2.18MB / 3.02MB
