# --- TEST_START: 1746899722 ---
myservice,0.64%,612.2MiB / 30.25GiB,47.7kB / 873kB
backend-b-1,0.12%,355.8MiB / 30.25GiB,937kB / 1.01MB
prometheus,0.31%,71.97MiB / 30.25GiB,1.89MB / 3.03MB
backend-a-1,1.03%,398.6MiB / 30.25GiB,946kB / 969kB
grafana,1.06%,77.92MiB / 30.25GiB,53.8kB / 98.1kB
node-exporter,0.00%,13.82MiB / 30.25GiB,51.6kB / 988kB
busy_blackwell,295.78%,706.2MiB / 30.25GiB,2.22kB / 1.28kB
busy_blackwell,36.29%,734.6MiB / 30.25GiB,335kB / 320kB
myservice,0.09%,612.2MiB / 30.25GiB,47.7kB / 873kB
backend-b-1,38.30%,358.1MiB / 30.25GiB,1.05MB / 1.13MB
prometheus,0.58%,71.98MiB / 30.25GiB,1.89MB / 3.03MB
backend-a-1,18.86%,406.8MiB / 30.25GiB,1.1MB / 1.13MB
grafana,1.00%,77.92MiB / 30.25GiB,53.9kB / 98.3kB
node-exporter,0.00%,12.98MiB / 30.25GiB,52.3kB / 1MB
busy_blackwell,11.16%,724.1MiB / 30.25GiB,644kB / 623kB
myservice,0.09%,612.2MiB / 30.25GiB,48.4kB / 886kB
backend-b-1,9.97%,358.2MiB / 30.25GiB,1.24MB / 1.34MB
prometheus,0.05%,71.98MiB / 30.25GiB,1.92MB / 3.03MB
backend-a-1,10.74%,410.9MiB / 30.25GiB,1.25MB / 1.28MB
grafana,0.96%,77.92MiB / 30.25GiB,53.9kB / 98.3kB
node-exporter,0.00%,12.69MiB / 30.25GiB,53kB / 1.02MB
busy_blackwell,11.59%,725.5MiB / 30.25GiB,941kB / 917kB
myservice,0.50%,612.3MiB / 30.25GiB,49kB / 898kB
backend-b-1,7.52%,358.5MiB / 30.25GiB,1.38MB / 1.5MB
prometheus,0.31%,71.99MiB / 30.25GiB,1.95MB / 3.03MB
backend-a-1,7.72%,415MiB / 30.25GiB,1.39MB / 1.43MB
grafana,0.87%,77.92MiB / 30.25GiB,54.1kB / 98.4kB
node-exporter,0.00%,12.69MiB / 30.25GiB,53kB / 1.02MB
# --- TEST_END: 1746899736 ---
myservice,0.10%,612.2MiB / 30.25GiB,49kB / 898kB
backend-b-1,0.12%,358.3MiB / 30.25GiB,1.4MB / 1.52MB
prometheus,0.14%,71.98MiB / 30.25GiB,1.95MB / 3.03MB
backend-a-1,0.10%,415MiB / 30.25GiB,1.42MB / 1.45MB
grafana,2.07%,77.93MiB / 30.25GiB,54.2kB / 98.5kB
node-exporter,0.00%,13.23MiB / 30.25GiB,53.8kB / 1.03MB
