# --- TEST_START: 1746901192 ---
myservice,1.25%,610.5MiB / 30.25GiB,4.19kB / 51kB
grafana,1.06%,77.91MiB / 30.25GiB,55.4kB / 92.5kB
backend-a-1,0.11%,267.2MiB / 30.25GiB,1.49kB / 230B
prometheus,0.08%,56.16MiB / 30.25GiB,120kB / 2.93MB
backend-b-1,0.11%,244MiB / 30.25GiB,1.49kB / 230B
node-exporter,0.00%,11.44MiB / 30.25GiB,4.39kB / 58.1kB
angry_almeida,316.36%,957.7MiB / 30.25GiB,606B / 0B
angry_almeida,260.78%,1.694GiB / 30.25GiB,1.51MB / 1.46MB
myservice,0.20%,610.5MiB / 30.25GiB,4.19kB / 51kB
grafana,1.49%,77.91MiB / 30.25GiB,55.8kB / 92.8kB
backend-a-1,541.05%,517.6MiB / 30.25GiB,854kB / 868kB
prometheus,0.84%,56.23MiB / 30.25GiB,135kB / 2.93MB
backend-b-1,242.70%,369MiB / 30.25GiB,583kB / 622kB
node-exporter,0.00%,11.7MiB / 30.25GiB,5.12kB / 72.6kB
angry_almeida,461.03%,1.722GiB / 30.25GiB,3.76MB / 3.41MB
myservice,0.19%,610.6MiB / 30.25GiB,4.87kB / 63.8kB
grafana,1.73%,77.91MiB / 30.25GiB,55.9kB / 93kB
backend-a-1,538.78%,525.3MiB / 30.25GiB,1.89MB / 2.21MB
prometheus,0.00%,56.23MiB / 30.25GiB,162kB / 2.93MB
backend-b-1,129.83%,368.9MiB / 30.25GiB,1.48MB / 1.59MB
node-exporter,0.00%,11.45MiB / 30.25GiB,5.86kB / 87.2kB
angry_almeida,0.07%,1.751GiB / 30.25GiB,4.67MB / 4.25MB
myservice,1.57%,610.8MiB / 30.25GiB,5.54kB / 76.7kB
grafana,0.99%,77.91MiB / 30.25GiB,55.9kB / 93kB
backend-a-1,0.10%,579.7MiB / 30.25GiB,2.29MB / 2.74MB
prometheus,0.07%,56.3MiB / 30.25GiB,175kB / 2.93MB
backend-b-1,0.14%,394MiB / 30.25GiB,1.86MB / 2.01MB
node-exporter,0.00%,11.45MiB / 30.25GiB,5.86kB / 87.2kB
angry_almeida,0.12%,1.751GiB / 30.25GiB,4.67MB / 4.27MB
myservice,0.18%,610.6MiB / 30.25GiB,5.54kB / 76.7kB
