# --- TEST_START: 1746904576 ---
myservice,0.39%,681.1MiB / 30.25GiB,466kB / 8.74MB
grafana,1.06%,91.39MiB / 30.25GiB,196kB / 242kB
backend-a-1,0.10%,742.1MiB / 30.25GiB,80.7MB / 98.6MB
prometheus,0.07%,70.52MiB / 30.25GiB,18.7MB / 3.89MB
backend-b-1,0.09%,499.6MiB / 30.25GiB,70.1MB / 75.9MB
node-exporter,0.00%,16.25MiB / 30.25GiB,503kB / 9.92MB
busy_moore,280.76%,633MiB / 30.25GiB,1.05kB / 0B
busy_moore,369.55%,1.61GiB / 30.25GiB,2.87MB / 2.65MB
myservice,0.12%,681.1MiB / 30.25GiB,466kB / 8.74MB
grafana,1.65%,91.39MiB / 30.25GiB,196kB / 242kB
backend-a-1,187.66%,752.3MiB / 30.25GiB,82.2MB / 100MB
prometheus,0.13%,70.52MiB / 30.25GiB,18.7MB / 3.89MB
backend-b-1,50.94%,500.3MiB / 30.25GiB,71.3MB / 77.2MB
node-exporter,0.00%,16.44MiB / 30.25GiB,504kB / 9.94MB
busy_moore,41.88%,1.633GiB / 30.25GiB,4.55MB / 4.09MB
myservice,0.14%,681.1MiB / 30.25GiB,466kB / 8.76MB
grafana,1.13%,91.39MiB / 30.25GiB,196kB / 242kB
backend-a-1,0.12%,751.9MiB / 30.25GiB,82.9MB / 101MB
prometheus,0.19%,70.53MiB / 30.25GiB,18.7MB / 3.89MB
backend-b-1,0.16%,500.4MiB / 30.25GiB,71.9MB / 77.9MB
node-exporter,0.00%,16.44MiB / 30.25GiB,504kB / 9.94MB
busy_moore,0.30%,1.618GiB / 30.25GiB,4.55MB / 4.13MB
myservice,0.10%,681.1MiB / 30.25GiB,466kB / 8.76MB
grafana,1.34%,91.39MiB / 30.25GiB,196kB / 243kB
backend-a-1,0.12%,751.9MiB / 30.25GiB,82.9MB / 101MB
prometheus,0.00%,70.53MiB / 30.25GiB,18.7MB / 3.89MB
backend-b-1,0.10%,500.4MiB / 30.25GiB,71.9MB / 77.9MB
node-exporter,0.00%,15.16MiB / 30.25GiB,505kB / 9.95MB
busy_moore,0.09%,1.618GiB / 30.25GiB,4.55MB / 4.16MB
myservice,0.10%,681.2MiB / 30.25GiB,467kB / 8.77MB
grafana,1.00%,91.39MiB / 30.25GiB,197kB / 243kB
backend-a-1,0.14%,751.9MiB / 30.25GiB,82.9MB / 101MB
prometheus,0.06%,70.52MiB / 30.25GiB,18.8MB / 3.9MB
backend-b-1,0.15%,500.4MiB / 30.25GiB,71.9MB / 77.9MB
node-exporter,0.00%,15.32MiB / 30.25GiB,506kB / 9.97MB
busy_moore,0.14%,1.618GiB / 30.25GiB,4.55MB / 4.16MB
myservice,0.55%,681.2MiB / 30.25GiB,468kB / 8.78MB
grafana,1.19%,91.39MiB / 30.25GiB,197kB / 243kB
backend-a-1,0.12%,751.9MiB / 30.25GiB,82.9MB / 101MB
prometheus,0.08%,70.54MiB / 30.25GiB,18.8MB / 3.9MB
backend-b-1,0.12%,500.4MiB / 30.25GiB,71.9MB / 77.9MB
node-exporter,0.00%,15.32MiB / 30.25GiB,506kB / 9.97MB
busy_moore,0.10%,1.618GiB / 30.25GiB,4.55MB / 4.16MB
myservice,0.12%,681.2MiB / 30.25GiB,468kB / 8.78MB
grafana,1.31%,91.39MiB / 30.25GiB,197kB / 243kB
backend-a-1,0.13%,751.9MiB / 30.25GiB,82.9MB / 101MB
prometheus,0.62%,70.66MiB / 30.25GiB,18.8MB / 3.9MB
backend-b-1,0.14%,500.4MiB / 30.25GiB,71.9MB / 77.9MB
node-exporter,0.00%,15.79MiB / 30.25GiB,506kB / 9.98MB
busy_moore,0.09%,1.618GiB / 30.25GiB,4.55MB / 4.2MB
myservice,0.11%,681.2MiB / 30.25GiB,468kB / 8.79MB
grafana,1.12%,91.39MiB / 30.25GiB,197kB / 243kB
backend-a-1,0.11%,751.9MiB / 30.25GiB,82.9MB / 101MB
prometheus,0.00%,70.52MiB / 30.25GiB,18.8MB / 3.9MB
backend-b-1,0.12%,500.4MiB / 30.25GiB,71.9MB / 77.9MB
node-exporter,1.27%,15.69MiB / 30.25GiB,507kB / 10MB
busy_moore,0.08%,1.618GiB / 30.25GiB,4.55MB / 4.2MB
myservice,0.33%,681.2MiB / 30.25GiB,469kB / 8.81MB
grafana,1.28%,91.39MiB / 30.25GiB,197kB / 243kB
backend-a-1,1.95%,751.9MiB / 30.25GiB,82.9MB / 101MB
prometheus,0.53%,70.66MiB / 30.25GiB,18.8MB / 3.9MB
backend-b-1,0.12%,500.4MiB / 30.25GiB,71.9MB / 77.9MB
node-exporter,0.00%,15.69MiB / 30.25GiB,507kB / 10MB
busy_moore,0.09%,1.618GiB / 30.25GiB,4.55MB / 4.2MB
myservice,0.09%,681.2MiB / 30.25GiB,469kB / 8.81MB
grafana,1.07%,91.39MiB / 30.25GiB,197kB / 243kB
backend-a-1,0.12%,751.9MiB / 30.25GiB,82.9MB / 101MB
prometheus,0.10%,70.52MiB / 30.25GiB,18.8MB / 3.9MB
