myservice,0.12%,733.5MiB / 30.25GiB,1.97MB / 2.46MB
backend-a-1,0.14%,297.8MiB / 30.25GiB,162kB / 171kB
backend-b-1,0.24%,262.2MiB / 30.25GiB,1.96kB / 690B
node-exporter,2.03%,12.33MiB / 30.25GiB,17kB / 308kB
prometheus,0.28%,61.93MiB / 30.25GiB,663kB / 2.96MB
dazzling_dirac,0.14%,962MiB / 30.25GiB,1.98MB / 1.88MB
grafana,1.39%,73.66MiB / 30.25GiB,81.2kB / 153kB
myservice,0.40%,733.7MiB / 30.25GiB,1.97MB / 2.48MB
backend-a-1,0.33%,297.9MiB / 30.25GiB,162kB / 171kB
backend-b-1,0.25%,262.6MiB / 30.25GiB,1.96kB / 836B
node-exporter,0.00%,12.32MiB / 30.25GiB,17kB / 308kB
prometheus,0.08%,61.83MiB / 30.25GiB,681kB / 2.96MB
dazzling_dirac,0.14%,962MiB / 30.25GiB,1.98MB / 1.88MB
grafana,1.17%,75.74MiB / 30.25GiB,81.2kB / 153kB
myservice,0.17%,733.7MiB / 30.25GiB,1.97MB / 2.5MB
backend-a-1,11.97%,298.5MiB / 30.25GiB,162kB / 171kB
backend-b-1,0.11%,262.6MiB / 30.25GiB,2.15kB / 878B
node-exporter,0.00%,12.71MiB / 30.25GiB,17.8kB / 322kB
prometheus,0.89%,61.84MiB / 30.25GiB,715kB / 2.96MB
dazzling_dirac,0.13%,962MiB / 30.25GiB,1.98MB / 1.88MB
grafana,1.21%,75.94MiB / 30.25GiB,81.7kB / 154kB
myservice,0.12%,733.7MiB / 30.25GiB,1.97MB / 2.5MB
backend-a-1,0.91%,298.5MiB / 30.25GiB,163kB / 171kB
backend-b-1,0.13%,262.6MiB / 30.25GiB,2.15kB / 878B
node-exporter,0.00%,12.71MiB / 30.25GiB,17.8kB / 322kB
prometheus,0.10%,61.83MiB / 30.25GiB,715kB / 2.96MB
dazzling_dirac,0.16%,962MiB / 30.25GiB,1.98MB / 1.88MB
grafana,1.22%,75.94MiB / 30.25GiB,82.2kB / 154kB
myservice,0.12%,733.8MiB / 30.25GiB,1.97MB / 2.52MB
backend-a-1,0.12%,298.3MiB / 30.25GiB,163kB / 172kB
backend-b-1,0.10%,262.6MiB / 30.25GiB,2.15kB / 878B
node-exporter,0.00%,12.28MiB / 30.25GiB,18.5kB / 337kB
prometheus,0.00%,61.97MiB / 30.25GiB,748kB / 2.96MB
dazzling_dirac,0.12%,962MiB / 30.25GiB,1.98MB / 1.88MB
grafana,1.27%,78.09MiB / 30.25GiB,82.4kB / 155kB
myservice,2.15%,734MiB / 30.25GiB,1.97MB / 2.54MB
backend-a-1,0.17%,298.2MiB / 30.25GiB,163kB / 172kB
backend-b-1,0.16%,262.6MiB / 30.25GiB,2.15kB / 878B
node-exporter,1.55%,12.66MiB / 30.25GiB,19.3kB / 352kB
prometheus,1.21%,62.34MiB / 30.25GiB,781kB / 2.96MB
dazzling_dirac,0.11%,962MiB / 30.25GiB,1.98MB / 1.88MB
grafana,1.15%,78.1MiB / 30.25GiB,82.5kB / 155kB
myservice,0.11%,734MiB / 30.25GiB,1.97MB / 2.54MB
backend-a-1,0.18%,298.2MiB / 30.25GiB,163kB / 172kB
backend-b-1,0.34%,262.6MiB / 30.25GiB,2.15kB / 878B
node-exporter,0.00%,12.66MiB / 30.25GiB,19.3kB / 352kB
prometheus,0.00%,62.01MiB / 30.25GiB,781kB / 2.96MB
dazzling_dirac,0.18%,962MiB / 30.25GiB,1.98MB / 1.88MB
grafana,1.09%,78.09MiB / 30.25GiB,82.6kB / 155kB
myservice,0.24%,734MiB / 30.25GiB,1.97MB / 2.55MB
backend-a-1,0.15%,298.2MiB / 30.25GiB,163kB / 172kB
backend-b-1,0.13%,262.6MiB / 30.25GiB,2.15kB / 878B
node-exporter,0.00%,12.64MiB / 30.25GiB,20kB / 366kB
prometheus,1.45%,62.19MiB / 30.25GiB,814kB / 2.97MB
dazzling_dirac,0.11%,962MiB / 30.25GiB,1.98MB / 1.88MB
grafana,5.99%,78.17MiB / 30.25GiB,82.6kB / 155kB
myservice,8.37%,734.4MiB / 30.25GiB,1.97MB / 2.55MB
backend-a-1,0.23%,293.8MiB / 30.25GiB,163kB / 172kB
backend-b-1,0.16%,262.6MiB / 30.25GiB,2.15kB / 878B
node-exporter,1.72%,12MiB / 30.25GiB,20.7kB / 381kB
prometheus,0.00%,62.07MiB / 30.25GiB,814kB / 2.97MB
dazzling_dirac,0.11%,961.9MiB / 30.25GiB,1.98MB / 1.88MB
grafana,1.35%,78.17MiB / 30.25GiB,83.1kB / 155kB
myservice,0.21%,723.1MiB / 30.25GiB,1.97MB / 2.57MB
backend-a-1,0.20%,293.8MiB / 30.25GiB,163kB / 172kB
backend-b-1,0.50%,262.6MiB / 30.25GiB,2.15kB / 878B
node-exporter,0.00%,12MiB / 30.25GiB,20.7kB / 381kB
prometheus,0.00%,62.11MiB / 30.25GiB,847kB / 2.97MB
dazzling_dirac,58.41%,987.2MiB / 30.25GiB,2.2MB / 2.11MB
grafana,1.34%,78.17MiB / 30.25GiB,83.2kB / 156kB
myservice,533.37%,794.1MiB / 30.25GiB,2.36MB / 2.95MB
backend-a-1,344.00%,366.3MiB / 30.25GiB,315kB / 339kB
backend-b-1,0.10%,262.6MiB / 30.25GiB,2.15kB / 878B
node-exporter,0.00%,12.14MiB / 30.25GiB,21.5kB / 395kB
prometheus,0.39%,62.12MiB / 30.25GiB,880kB / 2.97MB
dazzling_dirac,0.16%,1.092GiB / 30.25GiB,3.73MB / 3.5MB
grafana,1.28%,78.17MiB / 30.25GiB,83.5kB / 156kB
myservice,0.39%,807.6MiB / 30.25GiB,3.76MB / 4.52MB
backend-a-1,0.21%,381.1MiB / 30.25GiB,361kB / 393kB
backend-b-1,0.12%,262.6MiB / 30.25GiB,2.15kB / 878B
