# --- TEST_START: 1746952670 ---
grafana,1.15%,84.82MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.00%,65.05MiB / 30.25GiB,21.8MB / 3.93MB
backend-a-1,0.09%,716.7MiB / 30.25GiB,80.7MB / 98.6MB
myservice,0.09%,438.3MiB / 30.25GiB,508kB / 11.9MB
backend-b-1,0.08%,666.7MiB / 30.25GiB,70.1MB / 75.9MB
node-exporter,0.00%,15.91MiB / 30.25GiB,502kB / 9.93MB
pedantic_northcutt,275.55%,643.2MiB / 30.25GiB,916B / 0B
pedantic_northcutt,379.09%,1.677GiB / 30.25GiB,2.94MB / 2.7MB
grafana,1.59%,84.82MiB / 30.25GiB,83.9kB / 109kB
prometheus,1.04%,65.05MiB / 30.25GiB,21.9MB / 3.93MB
backend-a-1,194.16%,726.5MiB / 30.25GiB,82.2MB / 100MB
myservice,0.11%,438.3MiB / 30.25GiB,508kB / 11.9MB
backend-b-1,52.03%,667.4MiB / 30.25GiB,71.3MB / 77.2MB
node-exporter,0.00%,16.14MiB / 30.25GiB,503kB / 9.94MB
pedantic_northcutt,0.11%,1.744GiB / 30.25GiB,4.82MB / 4.32MB
grafana,1.40%,84.81MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.40%,65.05MiB / 30.25GiB,21.9MB / 3.93MB
backend-a-1,0.12%,726MiB / 30.25GiB,83MB / 101MB
myservice,0.12%,438.3MiB / 30.25GiB,509kB / 11.9MB
backend-b-1,0.13%,667.3MiB / 30.25GiB,72MB / 78MB
node-exporter,0.00%,16.14MiB / 30.25GiB,503kB / 9.94MB
pedantic_northcutt,0.11%,1.724GiB / 30.25GiB,4.82MB / 4.36MB
grafana,1.17%,84.81MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.00%,65.06MiB / 30.25GiB,21.9MB / 3.93MB
backend-a-1,0.12%,726MiB / 30.25GiB,83MB / 101MB
myservice,0.18%,438.3MiB / 30.25GiB,510kB / 11.9MB
backend-b-1,0.12%,667.3MiB / 30.25GiB,72MB / 78MB
node-exporter,0.00%,15.94MiB / 30.25GiB,503kB / 9.96MB
pedantic_northcutt,0.12%,1.725GiB / 30.25GiB,4.82MB / 4.39MB
grafana,1.10%,84.81MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.02%,65.05MiB / 30.25GiB,21.9MB / 3.93MB
backend-a-1,0.11%,726MiB / 30.25GiB,83MB / 101MB
myservice,0.12%,438.3MiB / 30.25GiB,510kB / 11.9MB
backend-b-1,1.80%,667.4MiB / 30.25GiB,72MB / 78MB
node-exporter,0.00%,15.44MiB / 30.25GiB,504kB / 9.97MB
pedantic_northcutt,0.15%,1.725GiB / 30.25GiB,4.82MB / 4.39MB
grafana,1.29%,84.81MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.00%,65.7MiB / 30.25GiB,21.9MB / 3.93MB
backend-a-1,0.13%,726MiB / 30.25GiB,83MB / 101MB
myservice,0.11%,438.3MiB / 30.25GiB,511kB / 11.9MB
backend-b-1,0.11%,667.4MiB / 30.25GiB,72MB / 78MB
node-exporter,0.00%,15.32MiB / 30.25GiB,504kB / 9.97MB
pedantic_northcutt,0.11%,1.725GiB / 30.25GiB,4.82MB / 4.39MB
grafana,1.18%,84.82MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.13%,65.69MiB / 30.25GiB,22MB / 3.94MB
backend-a-1,0.12%,726MiB / 30.25GiB,83MB / 101MB
myservice,0.53%,438.3MiB / 30.25GiB,511kB / 12MB
backend-b-1,0.11%,667.4MiB / 30.25GiB,72MB / 78MB
node-exporter,0.00%,15.16MiB / 30.25GiB,505kB / 9.99MB
pedantic_northcutt,0.12%,1.725GiB / 30.25GiB,4.82MB / 4.43MB
grafana,1.12%,84.81MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.35%,65.68MiB / 30.25GiB,22MB / 3.94MB
backend-a-1,0.17%,726MiB / 30.25GiB,83MB / 101MB
myservice,0.14%,438.3MiB / 30.25GiB,511kB / 12MB
backend-b-1,0.20%,667.4MiB / 30.25GiB,72MB / 78MB
node-exporter,1.42%,15.14MiB / 30.25GiB,506kB / 10MB
pedantic_northcutt,0.10%,1.725GiB / 30.25GiB,4.82MB / 4.43MB
grafana,1.21%,84.81MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.00%,65.68MiB / 30.25GiB,22MB / 3.94MB
backend-a-1,0.13%,726MiB / 30.25GiB,83MB / 101MB
myservice,0.20%,438.3MiB / 30.25GiB,512kB / 12MB
backend-b-1,0.11%,667.4MiB / 30.25GiB,72MB / 78MB
node-exporter,0.00%,15.14MiB / 30.25GiB,506kB / 10MB
pedantic_northcutt,0.12%,1.725GiB / 30.25GiB,4.82MB / 4.43MB
grafana,1.31%,84.81MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.75%,65.82MiB / 30.25GiB,22MB / 3.94MB
backend-a-1,8.81%,726.1MiB / 30.25GiB,83MB / 101MB
myservice,0.14%,438.3MiB / 30.25GiB,512kB / 12MB
backend-b-1,0.14%,667.4MiB / 30.25GiB,72MB / 78MB
node-exporter,0.00%,16.01MiB / 30.25GiB,506kB / 10MB
pedantic_northcutt,0.43%,1.754GiB / 30.25GiB,4.82MB / 4.43MB
grafana,1.23%,84.81MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.24%,65.69MiB / 30.25GiB,22MB / 3.94MB
backend-a-1,0.23%,726MiB / 30.25GiB,83MB / 101MB
myservice,0.12%,438.3MiB / 30.25GiB,513kB / 12MB
backend-b-1,0.16%,667.4MiB / 30.25GiB,72MB / 78MB
node-exporter,1.58%,12.62MiB / 30.25GiB,507kB / 10MB
pedantic_northcutt,0.16%,1.753GiB / 30.25GiB,4.82MB / 4.43MB
grafana,1.29%,84.81MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.12%,65.7MiB / 30.25GiB,22.1MB / 3.94MB
backend-a-1,0.12%,726MiB / 30.25GiB,83MB / 101MB
myservice,0.58%,438.3MiB / 30.25GiB,514kB / 12MB
backend-b-1,0.11%,667.4MiB / 30.25GiB,72MB / 78MB
node-exporter,0.00%,12.62MiB / 30.25GiB,507kB / 10MB
pedantic_northcutt,0.10%,1.753GiB / 30.25GiB,4.82MB / 4.46MB
grafana,1.22%,84.81MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.35%,65.7MiB / 30.25GiB,22.1MB / 3.94MB
backend-a-1,0.12%,726MiB / 30.25GiB,83MB / 101MB
myservice,0.12%,438.3MiB / 30.25GiB,514kB / 12MB
backend-b-1,0.11%,667.4MiB / 30.25GiB,72MB / 78MB
node-exporter,0.00%,12.62MiB / 30.25GiB,508kB / 10MB
pedantic_northcutt,0.14%,1.753GiB / 30.25GiB,4.82MB / 4.47MB
grafana,1.22%,85.04MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.00%,65.7MiB / 30.25GiB,22.1MB / 3.94MB
backend-a-1,0.13%,726MiB / 30.25GiB,83MB / 101MB
myservice,0.13%,438.3MiB / 30.25GiB,514kB / 12MB
backend-b-1,0.11%,667.4MiB / 30.25GiB,72MB / 78MB
node-exporter,0.00%,12.62MiB / 30.25GiB,508kB / 10MB
pedantic_northcutt,0.11%,1.753GiB / 30.25GiB,4.82MB / 4.47MB
grafana,1.13%,85.04MiB / 30.25GiB,83.9kB / 109kB
prometheus,0.90%,65.82MiB / 30.25GiB,22.1MB / 3.94MB
backend-a-1,0.13%,726MiB / 30.25GiB,83MB / 101MB
myservice,0.12%,438.3MiB / 30.25GiB,514kB / 12MB
backend-b-1,0.18%,667.4MiB / 30.25GiB,72MB / 78MB
node-exporter,0.00%,12.62MiB / 30.25GiB,508kB / 10.1MB
pedantic_northcutt,0.12%,1.753GiB / 30.25GiB,4.82MB / 4.47MB
