# --- TEST_START: 1746949343 ---
grafana,1.13%,81.88MiB / 30.25GiB,53.6kB / 92.9kB
prometheus,0.97%,46.14MiB / 30.25GiB,412kB / 2.94MB
backend-a-1,0.12%,262.8MiB / 30.25GiB,1.61kB / 460B
myservice,0.12%,418.9MiB / 30.25GiB,10.3kB / 210kB
backend-b-1,0.12%,268.3MiB / 30.25GiB,1.57kB / 418B
node-exporter,0.00%,11.73MiB / 30.25GiB,11kB / 190kB
suspicious_lamarr,182.35%,283.1MiB / 30.25GiB,606B / 0B
suspicious_lamarr,212.47%,1.7GiB / 30.25GiB,736kB / 760kB
grafana,2.00%,81.88MiB / 30.25GiB,53.6kB / 92.9kB
prometheus,0.41%,46.14MiB / 30.25GiB,444kB / 2.94MB
backend-a-1,509.80%,413.5MiB / 30.25GiB,460kB / 422kB
myservice,0.48%,419MiB / 30.25GiB,11kB / 227kB
backend-b-1,266.70%,372.4MiB / 30.25GiB,270kB / 281kB
node-exporter,0.00%,11.73MiB / 30.25GiB,11kB / 190kB
suspicious_lamarr,233.59%,1.695GiB / 30.25GiB,2.96MB / 2.73MB
grafana,1.67%,81.89MiB / 30.25GiB,53.8kB / 93kB
prometheus,0.16%,46.52MiB / 30.25GiB,462kB / 2.94MB
backend-a-1,456.48%,527MiB / 30.25GiB,1.56MB / 1.73MB
myservice,3.40%,419MiB / 30.25GiB,11.8kB / 245kB
backend-b-1,153.99%,417.4MiB / 30.25GiB,1.19MB / 1.27MB
node-exporter,0.00%,12.21MiB / 30.25GiB,11.8kB / 204kB
suspicious_lamarr,527.98%,1.764GiB / 30.25GiB,4.34MB / 3.91MB
grafana,1.66%,81.89MiB / 30.25GiB,53.8kB / 93kB
prometheus,0.78%,47.02MiB / 30.25GiB,476kB / 2.94MB
backend-a-1,449.01%,564MiB / 30.25GiB,2.32MB / 2.78MB
myservice,0.13%,419MiB / 30.25GiB,11.8kB / 245kB
backend-b-1,149.64%,453.3MiB / 30.25GiB,1.89MB / 2.03MB
node-exporter,0.00%,12.7MiB / 30.25GiB,12.5kB / 219kB
suspicious_lamarr,0.11%,1.753GiB / 30.25GiB,4.72MB / 4.28MB
grafana,1.30%,81.89MiB / 30.25GiB,54.1kB / 93.3kB
prometheus,0.25%,46.96MiB / 30.25GiB,509kB / 2.94MB
backend-a-1,0.27%,563.7MiB / 30.25GiB,2.32MB / 2.78MB
myservice,0.14%,419.1MiB / 30.25GiB,12.5kB / 263kB
backend-b-1,0.31%,453.3MiB / 30.25GiB,1.89MB / 2.03MB
node-exporter,0.00%,12.7MiB / 30.25GiB,12.5kB / 219kB
suspicious_lamarr,0.10%,1.728GiB / 30.25GiB,4.72MB / 4.3MB
grafana,1.09%,81.9MiB / 30.25GiB,54.1kB / 93.3kB
prometheus,0.12%,47.34MiB / 30.25GiB,526kB / 2.95MB
backend-a-1,0.13%,548.3MiB / 30.25GiB,2.32MB / 2.78MB
myservice,1.57%,421.4MiB / 30.25GiB,13.3kB / 280kB
backend-b-1,0.11%,453.3MiB / 30.25GiB,1.89MB / 2.03MB
node-exporter,0.00%,13.16MiB / 30.25GiB,13.2kB / 234kB
suspicious_lamarr,0.09%,1.728GiB / 30.25GiB,4.72MB / 4.32MB
grafana,1.36%,81.9MiB / 30.25GiB,55kB / 94.2kB
prometheus,0.04%,47.23MiB / 30.25GiB,541kB / 2.95MB
backend-a-1,0.15%,548.3MiB / 30.25GiB,2.32MB / 2.78MB
myservice,0.15%,421.2MiB / 30.25GiB,13.3kB / 280kB
backend-b-1,0.13%,453.2MiB / 30.25GiB,1.89MB / 2.03MB
node-exporter,1.45%,13.01MiB / 30.25GiB,14kB / 248kB
suspicious_lamarr,0.10%,1.728GiB / 30.25GiB,4.72MB / 4.32MB
grafana,1.05%,81.9MiB / 30.25GiB,55kB / 94.2kB
prometheus,0.00%,47.47MiB / 30.25GiB,559kB / 2.95MB
backend-a-1,0.14%,548.3MiB / 30.25GiB,2.32MB / 2.78MB
myservice,0.18%,421.3MiB / 30.25GiB,14kB / 298kB
backend-b-1,0.16%,453.2MiB / 30.25GiB,1.89MB / 2.03MB
node-exporter,0.00%,12.98MiB / 30.25GiB,14kB / 248kB
suspicious_lamarr,0.11%,1.728GiB / 30.25GiB,4.72MB / 4.35MB
grafana,1.18%,81.9MiB / 30.25GiB,55kB / 94.2kB
prometheus,0.77%,47.67MiB / 30.25GiB,591kB / 2.95MB
backend-a-1,0.19%,548.3MiB / 30.25GiB,2.32MB / 2.78MB
myservice,2.37%,421.6MiB / 30.25GiB,14.8kB / 315kB
backend-b-1,0.17%,453.2MiB / 30.25GiB,1.89MB / 2.03MB
node-exporter,0.00%,13.04MiB / 30.25GiB,14.7kB / 263kB
suspicious_lamarr,0.09%,1.728GiB / 30.25GiB,4.72MB / 4.35MB
grafana,1.34%,81.91MiB / 30.25GiB,55kB / 94.2kB
prometheus,0.35%,47.69MiB / 30.25GiB,605kB / 2.95MB
backend-a-1,0.20%,548.3MiB / 30.25GiB,2.32MB / 2.78MB
myservice,0.10%,421.5MiB / 30.25GiB,14.8kB / 315kB
backend-b-1,0.13%,453.2MiB / 30.25GiB,1.89MB / 2.03MB
node-exporter,0.00%,13.04MiB / 30.25GiB,14.7kB / 263kB
