backend-a-1,0.24%,290.9MiB / 30.25GiB,1.82kB / 376B
backend-b-1,0.10%,322.4MiB / 30.25GiB,1.97kB / 724B
prometheus,0.26%,61.54MiB / 30.25GiB,427kB / 2.94MB
grafana,1.18%,77.84MiB / 30.25GiB,61.3kB / 98.2kB
myservice,4.59%,602.7MiB / 30.25GiB,10.4kB / 210kB
node-exporter,0.00%,12.26MiB / 30.25GiB,10.9kB / 190kB
sharp_elbakyan,285.76%,646MiB / 30.25GiB,1.05kB / 0B
sharp_elbakyan,198.89%,856.7MiB / 30.25GiB,1.1MB / 1.14MB
backend-a-1,480.64%,490.8MiB / 30.25GiB,896kB / 835kB
backend-b-1,0.34%,322.4MiB / 30.25GiB,2.05kB / 724B
prometheus,0.00%,61.54MiB / 30.25GiB,444kB / 2.94MB
grafana,1.54%,77.85MiB / 30.25GiB,61.5kB / 98.4kB
myservice,583.62%,702.7MiB / 30.25GiB,1.97MB / 2.23MB
node-exporter,0.00%,12.27MiB / 30.25GiB,11.7kB / 205kB
sharp_elbakyan,0.12%,907.4MiB / 30.25GiB,1.82MB / 1.84MB
backend-a-1,1.86%,542.4MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,13.67%,327MiB / 30.25GiB,2.05kB / 870B
prometheus,0.00%,61.59MiB / 30.25GiB,477kB / 2.94MB
grafana,1.42%,77.86MiB / 30.25GiB,61.6kB / 98.5kB
myservice,0.30%,733.1MiB / 30.25GiB,3.08MB / 3.41MB
node-exporter,0.00%,12.14MiB / 30.25GiB,12.4kB / 219kB
sharp_elbakyan,0.13%,905.9MiB / 30.25GiB,1.82MB / 1.85MB
backend-a-1,0.14%,530.4MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.14%,327.9MiB / 30.25GiB,2.05kB / 870B
prometheus,0.91%,61.62MiB / 30.25GiB,492kB / 2.94MB
grafana,1.28%,77.87MiB / 30.25GiB,61.8kB / 98.8kB
myservice,0.28%,727.1MiB / 30.25GiB,3.08MB / 3.41MB
node-exporter,0.00%,12.14MiB / 30.25GiB,12.4kB / 219kB
sharp_elbakyan,0.12%,905.9MiB / 30.25GiB,1.82MB / 1.86MB
backend-a-1,0.31%,530.3MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.15%,329.9MiB / 30.25GiB,2.24kB / 912B
prometheus,0.00%,61.6MiB / 30.25GiB,511kB / 2.94MB
grafana,1.29%,77.87MiB / 30.25GiB,62.2kB / 99.2kB
myservice,0.20%,727.2MiB / 30.25GiB,3.08MB / 3.43MB
node-exporter,0.00%,12.17MiB / 30.25GiB,13.2kB / 234kB
sharp_elbakyan,0.12%,905.9MiB / 30.25GiB,1.82MB / 1.86MB
backend-a-1,0.13%,530.3MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.25%,329.9MiB / 30.25GiB,2.24kB / 912B
prometheus,0.11%,61.61MiB / 30.25GiB,544kB / 2.95MB
grafana,1.00%,77.87MiB / 30.25GiB,62.2kB / 99.2kB
myservice,1.07%,727.4MiB / 30.25GiB,3.08MB / 3.45MB
node-exporter,0.00%,12.17MiB / 30.25GiB,13.9kB / 249kB
sharp_elbakyan,0.11%,905.9MiB / 30.25GiB,1.82MB / 1.86MB
backend-a-1,0.22%,530.3MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.12%,329.9MiB / 30.25GiB,2.28kB / 954B
prometheus,0.90%,61.77MiB / 30.25GiB,544kB / 2.95MB
grafana,1.34%,77.88MiB / 30.25GiB,62.6kB / 99.6kB
myservice,0.15%,727.3MiB / 30.25GiB,3.08MB / 3.45MB
node-exporter,0.00%,12.17MiB / 30.25GiB,13.9kB / 249kB
sharp_elbakyan,0.10%,905.9MiB / 30.25GiB,1.82MB / 1.86MB
backend-a-1,0.12%,530.3MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.14%,329.9MiB / 30.25GiB,2.28kB / 954B
prometheus,0.00%,61.65MiB / 30.25GiB,577kB / 2.95MB
grafana,1.41%,77.88MiB / 30.25GiB,63.2kB / 100kB
myservice,0.19%,727.3MiB / 30.25GiB,3.08MB / 3.47MB
node-exporter,0.00%,12.25MiB / 30.25GiB,14.6kB / 263kB
sharp_elbakyan,0.16%,905.9MiB / 30.25GiB,1.82MB / 1.86MB
backend-a-1,0.20%,530.3MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.14%,329.9MiB / 30.25GiB,2.28kB / 954B
prometheus,0.36%,61.79MiB / 30.25GiB,610kB / 2.95MB
grafana,1.40%,77.88MiB / 30.25GiB,63.3kB / 100kB
myservice,2.81%,727.5MiB / 30.25GiB,3.08MB / 3.49MB
node-exporter,0.00%,12.25MiB / 30.25GiB,14.6kB / 263kB
sharp_elbakyan,0.11%,905.9MiB / 30.25GiB,1.82MB / 1.86MB
backend-a-1,0.20%,530.3MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.11%,329.9MiB / 30.25GiB,2.28kB / 954B
prometheus,0.00%,61.67MiB / 30.25GiB,610kB / 2.95MB
grafana,1.14%,77.88MiB / 30.25GiB,63.6kB / 101kB
myservice,0.13%,727.4MiB / 30.25GiB,3.08MB / 3.49MB
node-exporter,0.00%,13.21MiB / 30.25GiB,15.4kB / 278kB
sharp_elbakyan,0.10%,941.4MiB / 30.25GiB,1.82MB / 1.86MB
backend-a-1,0.13%,530.3MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.12%,329.9MiB / 30.25GiB,2.28kB / 954B
prometheus,0.00%,61.7MiB / 30.25GiB,643kB / 2.95MB
grafana,1.10%,77.88MiB / 30.25GiB,63.7kB / 101kB
myservice,0.20%,728MiB / 30.25GiB,3.08MB / 3.5MB
node-exporter,0.00%,12.62MiB / 30.25GiB,16.1kB / 293kB
sharp_elbakyan,0.13%,941MiB / 30.25GiB,1.82MB / 1.86MB
backend-a-1,0.14%,530.3MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.18%,329.9MiB / 30.25GiB,2.28kB / 954B
prometheus,1.01%,61.98MiB / 30.25GiB,658kB / 2.95MB
grafana,1.45%,77.88MiB / 30.25GiB,63.9kB / 101kB
myservice,0.13%,727.9MiB / 30.25GiB,3.08MB / 3.5MB
node-exporter,1.29%,13.08MiB / 30.25GiB,16.8kB / 307kB
sharp_elbakyan,0.10%,941MiB / 30.25GiB,1.82MB / 1.87MB
backend-a-1,0.17%,530.7MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.14%,329.9MiB / 30.25GiB,2.28kB / 954B
prometheus,0.00%,61.74MiB / 30.25GiB,676kB / 2.95MB
grafana,1.15%,77.88MiB / 30.25GiB,64.1kB / 101kB
myservice,0.15%,728MiB / 30.25GiB,3.08MB / 3.52MB
node-exporter,0.00%,13.08MiB / 30.25GiB,16.8kB / 307kB
sharp_elbakyan,0.10%,941MiB / 30.25GiB,1.82MB / 1.87MB
backend-a-1,0.98%,530.4MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,7.04%,334.5MiB / 30.25GiB,2.28kB / 1.1kB
prometheus,0.11%,61.86MiB / 30.25GiB,709kB / 2.95MB
grafana,1.07%,78.1MiB / 30.25GiB,64.1kB / 101kB
myservice,3.34%,728MiB / 30.25GiB,3.08MB / 3.54MB
node-exporter,0.00%,12.48MiB / 30.25GiB,17.6kB / 322kB
sharp_elbakyan,0.14%,941MiB / 30.25GiB,1.82MB / 1.87MB
backend-a-1,0.19%,530.4MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.24%,334.2MiB / 30.25GiB,2.28kB / 1.1kB
prometheus,0.75%,62.17MiB / 30.25GiB,710kB / 2.95MB
grafana,1.27%,78.1MiB / 30.25GiB,64.6kB / 102kB
myservice,0.13%,728MiB / 30.25GiB,3.08MB / 3.54MB
node-exporter,0.00%,12.48MiB / 30.25GiB,17.6kB / 322kB
sharp_elbakyan,0.11%,941MiB / 30.25GiB,1.82MB / 1.87MB
backend-a-1,0.13%,530.4MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.10%,334.2MiB / 30.25GiB,2.43kB / 1.1kB
prometheus,0.00%,62.2MiB / 30.25GiB,743kB / 2.96MB
grafana,1.42%,78.11MiB / 30.25GiB,64.8kB / 102kB
myservice,0.18%,728MiB / 30.25GiB,3.09MB / 3.56MB
node-exporter,0.00%,12.5MiB / 30.25GiB,18.3kB / 337kB
sharp_elbakyan,0.14%,941MiB / 30.25GiB,1.82MB / 1.87MB
backend-a-1,0.18%,530.4MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.17%,334.2MiB / 30.25GiB,2.43kB / 1.1kB
prometheus,0.25%,62.5MiB / 30.25GiB,757kB / 2.96MB
grafana,2.05%,78.14MiB / 30.25GiB,64.8kB / 102kB
myservice,0.12%,728MiB / 30.25GiB,3.09MB / 3.56MB
node-exporter,0.00%,12.5MiB / 30.25GiB,18.3kB / 337kB
sharp_elbakyan,0.10%,941MiB / 30.25GiB,1.82MB / 1.87MB
backend-a-1,0.22%,530.4MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.17%,334.2MiB / 30.25GiB,2.43kB / 1.1kB
prometheus,0.00%,62.52MiB / 30.25GiB,776kB / 2.96MB
grafana,1.21%,78.14MiB / 30.25GiB,65kB / 102kB
myservice,0.16%,728MiB / 30.25GiB,3.09MB / 3.58MB
node-exporter,0.00%,12.09MiB / 30.25GiB,19.1kB / 351kB
sharp_elbakyan,0.14%,941MiB / 30.25GiB,1.82MB / 1.87MB
backend-a-1,0.12%,530.4MiB / 30.25GiB,1.38MB / 1.3MB
backend-b-1,0.13%,334.2MiB / 30.25GiB,2.43kB / 1.1kB
prometheus,0.00%,62.91MiB / 30.25GiB,809kB / 2.96MB
grafana,1.08%,78.14MiB / 30.25GiB,65.1kB / 103kB
