# --- TEST_START: 1746882740 ---
grafana,1.35%,75.81MiB / 30.25GiB,49.6kB / 92.6kB
backend-a-1,3.70%,305.9MiB / 30.25GiB,948kB / 1.1MB
backend-b-1,0.16%,327.8MiB / 30.25GiB,2.7kB / 1.35kB
myservice,0.14%,576.8MiB / 30.25GiB,26kB / 443kB
prometheus,0.08%,66.44MiB / 30.25GiB,990kB / 2.98MB
node-exporter,0.00%,13.36MiB / 30.25GiB,28.7kB / 532kB
wonderful_curran,288.47%,748.8MiB / 30.25GiB,14.8kB / 12.2kB
wonderful_curran,20.22%,763.3MiB / 30.25GiB,192kB / 165kB
grafana,0.96%,75.8MiB / 30.25GiB,50kB / 93kB
backend-a-1,6.08%,310.3MiB / 30.25GiB,1.1MB / 1.28MB
backend-b-1,0.51%,327.9MiB / 30.25GiB,2.7kB / 1.35kB
myservice,0.10%,576.8MiB / 30.25GiB,26.6kB / 456kB
prometheus,0.00%,66.65MiB / 30.25GiB,1.02MB / 2.98MB
node-exporter,0.56%,13.62MiB / 30.25GiB,29.4kB / 547kB
wonderful_curran,15.49%,750.9MiB / 30.25GiB,355kB / 307kB
grafana,1.17%,75.8MiB / 30.25GiB,50.1kB / 93.2kB
backend-a-1,10.90%,303.9MiB / 30.25GiB,1.24MB / 1.44MB
backend-b-1,0.11%,327.9MiB / 30.25GiB,2.7kB / 1.35kB
myservice,4.26%,576.8MiB / 30.25GiB,27.3kB / 468kB
prometheus,0.71%,66.73MiB / 30.25GiB,1.03MB / 2.98MB
node-exporter,0.00%,13.37MiB / 30.25GiB,29.4kB / 547kB
wonderful_curran,15.07%,753.3MiB / 30.25GiB,518kB / 450kB
grafana,1.07%,75.8MiB / 30.25GiB,50.1kB / 93.2kB
backend-a-1,8.55%,304.2MiB / 30.25GiB,1.38MB / 1.61MB
backend-b-1,0.12%,327.9MiB / 30.25GiB,2.7kB / 1.35kB
myservice,0.12%,576.8MiB / 30.25GiB,27.3kB / 468kB
prometheus,0.04%,66.72MiB / 30.25GiB,1.04MB / 2.98MB
node-exporter,0.00%,13.38MiB / 30.25GiB,30.2kB / 561kB
# --- TEST_END: 1746882753 ---
grafana,1.11%,75.81MiB / 30.25GiB,50.1kB / 93.2kB
backend-a-1,0.23%,304.1MiB / 30.25GiB,1.4MB / 1.63MB
backend-b-1,0.18%,327.9MiB / 30.25GiB,2.7kB / 1.35kB
myservice,0.13%,576.8MiB / 30.25GiB,28kB / 480kB
prometheus,0.22%,66.77MiB / 30.25GiB,1.07MB / 2.98MB
node-exporter,1.37%,14.02MiB / 30.25GiB,30.9kB / 575kB
